***
18/06/27, 18:39:04 EST, User: asdfas, Status: Fail
***
18/06/27, 18:39:52 EST, User: TestUser, Status: Fail
***
18/06/27, 18:42:52 EST, User: TestUser, Status: Pass
***
18/06/30, 12:42:24 EST, User: username, Status: Fail
***
18/06/30, 12:42:49 EST, User: username1, Status: username1
***
18/06/30, 12:44:50 EST, User: username1, Status: username1
***
18/06/30, 12:45:07 EST, User: username1, Status: username1
***
18/06/30, 12:47:08 EST, User: username1, Status: username1
***
18/06/30, 12:49:51 EST, User: username1, Status: username1
***
18/06/30, 12:51:16 EST, User: username1, Status: username1
***
18/06/30, 12:55:26 EST, User: username1, Status: username1
***
18/06/30, 12:55:42 EST, User: username1, Status: username1
***
18/06/30, 13:12:55 EST, User: asdlf, Status: Fail
***
18/06/30, 13:13:12 EST, User: TestUser, Status: Pass
***
18/06/30, 13:15:31 EST, User: username1, Status: Pass/Fail
***
18/06/30, 14:56:07 EST, User: TestUser, Status: Pass
***
18/06/30, 14:57:02 EST, User: TestUser, Status: Pass
***
18/06/30, 14:57:39 EST, User: username1, Status: Pass/Fail
***
18/06/30, 15:02:05 EST, User: TestUser, Status: Pass
***
18/06/30, 15:02:06 EST, User: username1, Status: Pass/Fail
***
18/06/30, 15:11:01 EST, User: TestUser, Status: Pass
***
18/06/30, 15:11:03 EST, User: username1, Status: Pass/Fail
***
18/06/30, 15:11:04 EST, User: , Status: Fail
***
18/06/30, 15:11:06 EST, User: , Status: 
***
18/06/30, 15:11:40 EST, User: TestUser, Status: Pass
***
18/06/30, 15:11:41 EST, User: username1, Status: Pass/Fail
***
18/06/30, 15:11:42 EST, User: , Status: Fail
***
18/06/30, 15:11:44 EST, User: , Status: 
***
18/06/30, 15:13:23 EST, User: TestUser, Status: Pass
***
18/06/30, 15:13:25 EST, User: username1, Status: Pass/Fail
***
18/06/30, 15:26:52 EST, User: TestUser, Status: Pass
***
18/06/30, 15:26:54 EST, User: username1, Status: Pass/Fail
***
18/06/30, 15:34:51 EST, User: TestUser, Status: Pass
***
18/06/30, 15:35:01 EST, User: username1, Status: Pass/Fail
***
18/06/30, 15:58:08 EST, User: TestUser, Status: Pass
***
18/06/30, 16:04:05 EST, User: TestUser, Status: Pass
***
18/06/30, 16:04:19 EST, User: username1, Status: Pass/Fail
***
18/06/30, 16:06:15 EST, User: TestUser, Status: Pass
***
18/06/30, 16:07:40 EST, User: TestUser, Status: Pass
***
18/06/30, 16:07:41 EST, User: username1, Status: Pass/Fail
***
18/06/30, 16:24:01 EST, User: asdf, Status: Fail
***
18/06/30, 16:25:38 EST, User: asd, Status: Fail
***
18/06/30, 16:29:16 EST, User: TestUser, Status: Pass
***
18/06/30, 16:29:57 EST, User: asdf, Status: Fail
***
18/06/30, 18:14:14 EST, User: TestUser, Status: Pass
***
18/06/30, 18:14:16 EST, User: username1, Status: Pass/Fail
